time,type,price,size,profit,order_id
2026-01-19 21:12:51,平仓,93676.1,1.21,14.641000000007043,3232163239116414976
2026-01-19 21:15:36,开多,93745.0,1.21,0.0,3232168776872763392
2026-01-19 21:15:40,平仓,93743.2,1.21,-2.1780000000035216,3232168910419402752
2026-01-19 21:27:31,开多,93676.1,1.21,0.0,3232192783726682112
2026-01-19 23:57:50,平仓,92024.1,1.23,-2031.96,3232495423396257792
2026-01-19 23:58:54,开多,92146.8,1.23,0.0,3232497546418724864
2026-01-19 23:58:59,平仓,92147.4,1.23,0.7379999999892607,3232497710399234048
2026-01-20 00:04:43,开多,92486.4,1.23,0.0,3232509268357554176
2026-01-20 00:15:02,平仓,92301.7,1.23,-227.18099999999643,3232530045496729600
2026-01-20 00:23:28,开多,92537.1,1.23,0.0,3232547021086531584
2026-01-20 00:24:28,平仓,92601.6,1.23,79.335,3232549012877615104
2026-01-20 00:29:26,开多,92682.4,1.23,0.0,3232559016326209536
2026-01-20 00:29:32,平仓,92645.6,1.22,-44.8959999999858,3232559206244294656
